system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
3,017_1,ref,-1,-1,-1,1,017_1,w19_deen_t1,-1,ht,-1
2,017_1,ref,-1,-1,-1,1,017_1,w19_deen_t1,-1,mt,-1
2,017_1,ht,-1,-1,-1,3,017_1,w19_deen_t1,-1,mt,-1
2,017_1,ref,-1,-1,-1,1,017_1,w19_deen_t2,-1,ht,-1
2,017_1,ref,-1,-1,-1,1,017_1,w19_deen_t2,-1,mt,-1
2,017_1,ht,-1,-1,-1,2,017_1,w19_deen_t2,-1,mt,-1
1,017_1,ref,-1,-1,-1,3,017_1,w19_deen_u1,-1,ht,-1
2,017_1,ref,-1,-1,-1,3,017_1,w19_deen_u1,-1,mt,-1
2,017_1,ht,-1,-1,-1,1,017_1,w19_deen_u1,-1,mt,-1
1,017_2,ref,-1,-1,-1,3,017_2,w19_deen_t1,-1,ht,-1
2,017_2,ref,-1,-1,-1,3,017_2,w19_deen_t1,-1,mt,-1
2,017_2,ht,-1,-1,-1,1,017_2,w19_deen_t1,-1,mt,-1
1,017_2,ref,-1,-1,-1,2,017_2,w19_deen_t2,-1,ht,-1
3,017_2,ref,-1,-1,-1,2,017_2,w19_deen_t2,-1,mt,-1
3,017_2,ht,-1,-1,-1,1,017_2,w19_deen_t2,-1,mt,-1
1,017_2,ref,-1,-1,-1,2,017_2,w19_deen_u1,-1,ht,-1
1,017_2,ref,-1,-1,-1,2,017_2,w19_deen_u1,-1,mt,-1
1,017_2,ht,-1,-1,-1,1,017_2,w19_deen_u1,-1,mt,-1
2,017_3,ref,-1,-1,-1,3,017_3,w19_deen_t1,-1,ht,-1
1,017_3,ref,-1,-1,-1,3,017_3,w19_deen_t1,-1,mt,-1
1,017_3,ht,-1,-1,-1,2,017_3,w19_deen_t1,-1,mt,-1
1,017_3,ref,-1,-1,-1,3,017_3,w19_deen_t2,-1,ht,-1
2,017_3,ref,-1,-1,-1,3,017_3,w19_deen_t2,-1,mt,-1
2,017_3,ht,-1,-1,-1,1,017_3,w19_deen_t2,-1,mt,-1
2,017_3,ref,-1,-1,-1,2,017_3,w19_deen_u1,-1,ht,-1
1,017_3,ref,-1,-1,-1,2,017_3,w19_deen_u1,-1,mt,-1
1,017_3,ht,-1,-1,-1,2,017_3,w19_deen_u1,-1,mt,-1
1,017_4,ref,-1,-1,-1,1,017_4,w19_deen_t1,-1,ht,-1
1,017_4,ref,-1,-1,-1,1,017_4,w19_deen_t1,-1,mt,-1
1,017_4,ht,-1,-1,-1,1,017_4,w19_deen_t1,-1,mt,-1
3,017_4,ref,-1,-1,-1,2,017_4,w19_deen_t2,-1,ht,-1
1,017_4,ref,-1,-1,-1,2,017_4,w19_deen_t2,-1,mt,-1
1,017_4,ht,-1,-1,-1,3,017_4,w19_deen_t2,-1,mt,-1
3,017_4,ref,-1,-1,-1,2,017_4,w19_deen_u1,-1,ht,-1
1,017_4,ref,-1,-1,-1,2,017_4,w19_deen_u1,-1,mt,-1
1,017_4,ht,-1,-1,-1,3,017_4,w19_deen_u1,-1,mt,-1
2,017_5,ref,-1,-1,-1,3,017_5,w19_deen_t1,-1,ht,-1
1,017_5,ref,-1,-1,-1,3,017_5,w19_deen_t1,-1,mt,-1
1,017_5,ht,-1,-1,-1,2,017_5,w19_deen_t1,-1,mt,-1
2,017_5,ref,-1,-1,-1,3,017_5,w19_deen_t2,-1,ht,-1
1,017_5,ref,-1,-1,-1,3,017_5,w19_deen_t2,-1,mt,-1
1,017_5,ht,-1,-1,-1,2,017_5,w19_deen_t2,-1,mt,-1
2,017_5,ref,-1,-1,-1,3,017_5,w19_deen_u1,-1,ht,-1
1,017_5,ref,-1,-1,-1,3,017_5,w19_deen_u1,-1,mt,-1
1,017_5,ht,-1,-1,-1,2,017_5,w19_deen_u1,-1,mt,-1
1,017_6,ref,-1,-1,-1,2,017_6,w19_deen_t1,-1,ht,-1
