system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
2,015_1,ref,-1,-1,-1,1,015_1,w19_ende_u1,-1,mt,-1
2,015_1,ref,-1,-1,-1,1,015_1,w19_ende_t1,-1,mt,-1
2,015_1,ref,-1,-1,-1,1,015_1,w19_ende_u2,-1,mt,-1
2,015_1,ref,-1,-1,-1,1,015_1,w19_ende_u3,-1,mt,-1
2,015_1,ref,-1,-1,-1,1,015_1,w19_ende_t2,-1,mt,-1
1,015_2,ref,-1,-1,-1,2,015_2,w19_ende_u1,-1,mt,-1
1,015_2,ref,-1,-1,-1,2,015_2,w19_ende_t1,-1,mt,-1
2,015_2,ref,-1,-1,-1,1,015_2,w19_ende_u2,-1,mt,-1
2,015_2,ref,-1,-1,-1,1,015_2,w19_ende_u3,-1,mt,-1
1,015_2,ref,-1,-1,-1,2,015_2,w19_ende_t2,-1,mt,-1
1,015_3,ref,-1,-1,-1,2,015_3,w19_ende_u1,-1,mt,-1
2,015_3,ref,-1,-1,-1,1,015_3,w19_ende_t1,-1,mt,-1
2,015_3,ref,-1,-1,-1,1,015_3,w19_ende_u2,-1,mt,-1
1,015_3,ref,-1,-1,-1,2,015_3,w19_ende_u3,-1,mt,-1
2,015_3,ref,-1,-1,-1,1,015_3,w19_ende_t2,-1,mt,-1
2,015_4,ref,-1,-1,-1,1,015_4,w19_ende_u1,-1,mt,-1
2,015_4,ref,-1,-1,-1,1,015_4,w19_ende_t1,-1,mt,-1
2,015_4,ref,-1,-1,-1,1,015_4,w19_ende_u2,-1,mt,-1
2,015_4,ref,-1,-1,-1,1,015_4,w19_ende_u3,-1,mt,-1
1,015_4,ref,-1,-1,-1,2,015_4,w19_ende_t2,-1,mt,-1
1,015_5,ref,-1,-1,-1,2,015_5,w19_ende_u1,-1,mt,-1
2,015_5,ref,-1,-1,-1,1,015_5,w19_ende_t1,-1,mt,-1
2,015_5,ref,-1,-1,-1,1,015_5,w19_ende_u2,-1,mt,-1
1,015_5,ref,-1,-1,-1,2,015_5,w19_ende_u3,-1,mt,-1
1,015_5,ref,-1,-1,-1,2,015_5,w19_ende_t2,-1,mt,-1
2,015_6,ref,-1,-1,-1,1,015_6,w19_ende_u1,-1,mt,-1
2,015_6,ref,-1,-1,-1,1,015_6,w19_ende_t1,-1,mt,-1
2,015_6,ref,-1,-1,-1,1,015_6,w19_ende_u2,-1,mt,-1
1,015_6,ref,-1,-1,-1,2,015_6,w19_ende_u3,-1,mt,-1
1,015_6,ref,-1,-1,-1,2,015_6,w19_ende_t2,-1,mt,-1
1,015_7,ref,-1,-1,-1,1,015_7,w19_ende_u1,-1,mt,-1
1,015_7,ref,-1,-1,-1,1,015_7,w19_ende_t1,-1,mt,-1
2,015_7,ref,-1,-1,-1,1,015_7,w19_ende_u2,-1,mt,-1
1,015_7,ref,-1,-1,-1,1,015_7,w19_ende_u3,-1,mt,-1
1,015_7,ref,-1,-1,-1,1,015_7,w19_ende_t2,-1,mt,-1
1,015_8,ref,-1,-1,-1,1,015_8,w19_ende_u1,-1,mt,-1
1,015_8,ref,-1,-1,-1,2,015_8,w19_ende_t1,-1,mt,-1
1,015_8,ref,-1,-1,-1,2,015_8,w19_ende_u2,-1,mt,-1
1,015_8,ref,-1,-1,-1,2,015_8,w19_ende_u3,-1,mt,-1
2,015_8,ref,-1,-1,-1,1,015_8,w19_ende_t2,-1,mt,-1
2,015_9,ref,-1,-1,-1,1,015_9,w19_ende_u1,-1,mt,-1
2,015_9,ref,-1,-1,-1,1,015_9,w19_ende_t1,-1,mt,-1
2,015_9,ref,-1,-1,-1,1,015_9,w19_ende_u2,-1,mt,-1
2,015_9,ref,-1,-1,-1,1,015_9,w19_ende_u3,-1,mt,-1
2,015_9,ref,-1,-1,-1,1,015_9,w19_ende_t2,-1,mt,-1
2,015_10,ref,-1,-1,-1,1,015_10,w19_ende_u1,-1,mt,-1
1,015_10,ref,-1,-1,-1,1,015_10,w19_ende_t1,-1,mt,-1
2,015_10,ref,-1,-1,-1,1,015_10,w19_ende_u2,-1,mt,-1
2,015_10,ref,-1,-1,-1,1,015_10,w19_ende_u3,-1,mt,-1
2,015_10,ref,-1,-1,-1,1,015_10,w19_ende_t2,-1,mt,-1
1,015_11,ref,-1,-1,-1,2,015_11,w19_ende_u1,-1,mt,-1
2,015_11,ref,-1,-1,-1,1,015_11,w19_ende_t1,-1,mt,-1
2,015_11,ref,-1,-1,-1,1,015_11,w19_ende_u2,-1,mt,-1
2,015_11,ref,-1,-1,-1,1,015_11,w19_ende_u3,-1,mt,-1
2,015_11,ref,-1,-1,-1,1,015_11,w19_ende_t2,-1,mt,-1
1,015_12,ref,-1,-1,-1,1,015_12,w19_ende_u1,-1,mt,-1
1,015_12,ref,-1,-1,-1,2,015_12,w19_ende_t1,-1,mt,-1
1,015_12,ref,-1,-1,-1,2,015_12,w19_ende_u2,-1,mt,-1
1,015_12,ref,-1,-1,-1,1,015_12,w19_ende_u3,-1,mt,-1
1,015_12,ref,-1,-1,-1,1,015_12,w19_ende_t2,-1,mt,-1
1,015_13,ref,-1,-1,-1,1,015_13,w19_ende_u1,-1,mt,-1
2,015_13,ref,-1,-1,-1,1,015_13,w19_ende_t1,-1,mt,-1
1,015_13,ref,-1,-1,-1,1,015_13,w19_ende_u2,-1,mt,-1
1,015_13,ref,-1,-1,-1,1,015_13,w19_ende_u3,-1,mt,-1
2,015_13,ref,-1,-1,-1,1,015_13,w19_ende_t2,-1,mt,-1
1,015_14,ref,-1,-1,-1,2,015_14,w19_ende_u1,-1,mt,-1
1,015_14,ref,-1,-1,-1,2,015_14,w19_ende_t1,-1,mt,-1
1,015_14,ref,-1,-1,-1,2,015_14,w19_ende_u2,-1,mt,-1
1,015_14,ref,-1,-1,-1,1,015_14,w19_ende_u3,-1,mt,-1
1,015_14,ref,-1,-1,-1,2,015_14,w19_ende_t2,-1,mt,-1
1,015_15,ref,-1,-1,-1,1,015_15,w19_ende_u1,-1,mt,-1
2,015_15,ref,-1,-1,-1,1,015_15,w19_ende_t1,-1,mt,-1
1,015_15,ref,-1,-1,-1,2,015_15,w19_ende_u2,-1,mt,-1
2,015_15,ref,-1,-1,-1,1,015_15,w19_ende_u3,-1,mt,-1
1,015_15,ref,-1,-1,-1,2,015_15,w19_ende_t2,-1,mt,-1
1,015_16,ref,-1,-1,-1,2,015_16,w19_ende_u1,-1,mt,-1
1,015_16,ref,-1,-1,-1,1,015_16,w19_ende_t1,-1,mt,-1
2,015_16,ref,-1,-1,-1,1,015_16,w19_ende_u2,-1,mt,-1
1,015_16,ref,-1,-1,-1,2,015_16,w19_ende_u3,-1,mt,-1
1,015_16,ref,-1,-1,-1,2,015_16,w19_ende_t2,-1,mt,-1
2,015_17,ref,-1,-1,-1,1,015_17,w19_ende_u1,-1,mt,-1
2,015_17,ref,-1,-1,-1,1,015_17,w19_ende_t1,-1,mt,-1
2,015_17,ref,-1,-1,-1,1,015_17,w19_ende_u2,-1,mt,-1
2,015_17,ref,-1,-1,-1,1,015_17,w19_ende_u3,-1,mt,-1
2,015_17,ref,-1,-1,-1,1,015_17,w19_ende_t2,-1,mt,-1
1,015_18,ref,-1,-1,-1,2,015_18,w19_ende_u1,-1,mt,-1
1,015_18,ref,-1,-1,-1,2,015_18,w19_ende_t1,-1,mt,-1
2,015_18,ref,-1,-1,-1,1,015_18,w19_ende_u2,-1,mt,-1
1,015_18,ref,-1,-1,-1,2,015_18,w19_ende_u3,-1,mt,-1
1,015_18,ref,-1,-1,-1,1,015_18,w19_ende_t2,-1,mt,-1
1,015_19,ref,-1,-1,-1,1,015_19,w19_ende_u1,-1,mt,-1
1,015_19,ref,-1,-1,-1,2,015_19,w19_ende_t1,-1,mt,-1
1,015_19,ref,-1,-1,-1,2,015_19,w19_ende_u2,-1,mt,-1
1,015_19,ref,-1,-1,-1,1,015_19,w19_ende_u3,-1,mt,-1
1,015_19,ref,-1,-1,-1,1,015_19,w19_ende_t2,-1,mt,-1
1,015_20,ref,-1,-1,-1,2,015_20,w19_ende_u1,-1,mt,-1
1,015_20,ref,-1,-1,-1,1,015_20,w19_ende_t1,-1,mt,-1
2,015_20,ref,-1,-1,-1,1,015_20,w19_ende_u2,-1,mt,-1
1,015_20,ref,-1,-1,-1,2,015_20,w19_ende_u3,-1,mt,-1
2,015_20,ref,-1,-1,-1,1,015_20,w19_ende_t2,-1,mt,-1
2,015_21,ref,-1,-1,-1,1,015_21,w19_ende_u1,-1,mt,-1
2,015_21,ref,-1,-1,-1,1,015_21,w19_ende_t1,-1,mt,-1
2,015_21,ref,-1,-1,-1,1,015_21,w19_ende_u2,-1,mt,-1
2,015_21,ref,-1,-1,-1,1,015_21,w19_ende_u3,-1,mt,-1
1,015_21,ref,-1,-1,-1,2,015_21,w19_ende_t2,-1,mt,-1
1,015_22,ref,-1,-1,-1,2,015_22,w19_ende_u1,-1,mt,-1
1,015_22,ref,-1,-1,-1,2,015_22,w19_ende_t1,-1,mt,-1
2,015_22,ref,-1,-1,-1,1,015_22,w19_ende_u2,-1,mt,-1
1,015_22,ref,-1,-1,-1,2,015_22,w19_ende_u3,-1,mt,-1
1,015_22,ref,-1,-1,-1,2,015_22,w19_ende_t2,-1,mt,-1
1,015_23,ref,-1,-1,-1,2,015_23,w19_ende_u1,-1,mt,-1
2,015_23,ref,-1,-1,-1,1,015_23,w19_ende_t1,-1,mt,-1
2,015_23,ref,-1,-1,-1,1,015_23,w19_ende_u2,-1,mt,-1
1,015_23,ref,-1,-1,-1,2,015_23,w19_ende_u3,-1,mt,-1
2,015_23,ref,-1,-1,-1,1,015_23,w19_ende_t2,-1,mt,-1
1,015_24,ref,-1,-1,-1,2,015_24,w19_ende_u1,-1,mt,-1
