system2rank,segmentId,system1Id,system2Number,system1Number,trglang,system1rank,srcIndex,judgeID,srclang,system2Id,documentId
2,013_1,ref,-1,-1,-1,1,013_1,w19_enru_t1,-1,mt,-1
2,013_1,ref,-1,-1,-1,1,013_1,w19_enru_t2,-1,mt,-1
2,013_1,ref,-1,-1,-1,1,013_1,w19_enru_u1,-1,mt,-1
2,013_1,ref,-1,-1,-1,1,013_1,w19_enru_t3,-1,mt,-1
2,013_1,ref,-1,-1,-1,1,013_1,w19_enru_t4,-1,mt,-1
2,013_1,ref,-1,-1,-1,1,013_1,w19_enru_u2,-1,mt,-1
1,013_2,ref,-1,-1,-1,2,013_2,w19_enru_t1,-1,mt,-1
1,013_2,ref,-1,-1,-1,2,013_2,w19_enru_t2,-1,mt,-1
1,013_2,ref,-1,-1,-1,2,013_2,w19_enru_u1,-1,mt,-1
1,013_2,ref,-1,-1,-1,1,013_2,w19_enru_t3,-1,mt,-1
1,013_2,ref,-1,-1,-1,1,013_2,w19_enru_t4,-1,mt,-1
2,013_2,ref,-1,-1,-1,1,013_2,w19_enru_u2,-1,mt,-1
2,013_3,ref,-1,-1,-1,1,013_3,w19_enru_t1,-1,mt,-1
1,013_3,ref,-1,-1,-1,2,013_3,w19_enru_t2,-1,mt,-1
2,013_3,ref,-1,-1,-1,1,013_3,w19_enru_u1,-1,mt,-1
2,013_3,ref,-1,-1,-1,1,013_3,w19_enru_t3,-1,mt,-1
1,013_3,ref,-1,-1,-1,2,013_3,w19_enru_t4,-1,mt,-1
2,013_3,ref,-1,-1,-1,1,013_3,w19_enru_u2,-1,mt,-1
1,013_4,ref,-1,-1,-1,1,013_4,w19_enru_t1,-1,mt,-1
1,013_4,ref,-1,-1,-1,2,013_4,w19_enru_t2,-1,mt,-1
1,013_4,ref,-1,-1,-1,2,013_4,w19_enru_u1,-1,mt,-1
1,013_4,ref,-1,-1,-1,1,013_4,w19_enru_t3,-1,mt,-1
2,013_4,ref,-1,-1,-1,1,013_4,w19_enru_t4,-1,mt,-1
1,013_4,ref,-1,-1,-1,2,013_4,w19_enru_u2,-1,mt,-1
1,013_5,ref,-1,-1,-1,2,013_5,w19_enru_t1,-1,mt,-1
1,013_5,ref,-1,-1,-1,1,013_5,w19_enru_t2,-1,mt,-1
1,013_5,ref,-1,-1,-1,2,013_5,w19_enru_u1,-1,mt,-1
1,013_5,ref,-1,-1,-1,1,013_5,w19_enru_t3,-1,mt,-1
1,013_5,ref,-1,-1,-1,2,013_5,w19_enru_t4,-1,mt,-1
1,013_5,ref,-1,-1,-1,1,013_5,w19_enru_u2,-1,mt,-1
2,013_6,ref,-1,-1,-1,1,013_6,w19_enru_t1,-1,mt,-1
2,013_6,ref,-1,-1,-1,1,013_6,w19_enru_t2,-1,mt,-1
2,013_6,ref,-1,-1,-1,1,013_6,w19_enru_u1,-1,mt,-1
1,013_6,ref,-1,-1,-1,1,013_6,w19_enru_t3,-1,mt,-1
1,013_6,ref,-1,-1,-1,2,013_6,w19_enru_t4,-1,mt,-1
1,013_6,ref,-1,-1,-1,1,013_6,w19_enru_u2,-1,mt,-1
2,013_7,ref,-1,-1,-1,1,013_7,w19_enru_t1,-1,mt,-1
1,013_7,ref,-1,-1,-1,1,013_7,w19_enru_t2,-1,mt,-1
2,013_7,ref,-1,-1,-1,1,013_7,w19_enru_u1,-1,mt,-1
1,013_7,ref,-1,-1,-1,2,013_7,w19_enru_t3,-1,mt,-1
2,013_7,ref,-1,-1,-1,1,013_7,w19_enru_t4,-1,mt,-1
2,013_7,ref,-1,-1,-1,1,013_7,w19_enru_u2,-1,mt,-1
2,013_8,ref,-1,-1,-1,1,013_8,w19_enru_t1,-1,mt,-1
1,013_8,ref,-1,-1,-1,2,013_8,w19_enru_t2,-1,mt,-1
1,013_8,ref,-1,-1,-1,2,013_8,w19_enru_u1,-1,mt,-1
1,013_8,ref,-1,-1,-1,1,013_8,w19_enru_t3,-1,mt,-1
